,index,close,predictions,%error,Inc/Dec
305,305,0.250595555,0.33357084,24.8748617,-1
306,306,0.258247629,0.33789802,23.57231647,-1
307,307,0.2586128,0.33414453,22.60450883,-1
308,308,0.256812991,0.33789802,23.99689372,-1
309,309,0.253679201,0.3374135,24.81652301,-1
310,310,0.249319806,0.33342296,25.22416382,-1
311,311,0.239914845,0.33237463,27.81794305,-1
312,312,0.237796686,0.33184466,28.34096351,-1
313,313,0.197667666,0.3373943,41.41345426,-1
314,314,0.202625531,0.35353726,42.68623019,-1
315,315,0.208950472,0.3539967,40.9738928,-1
316,316,0.206626904,0.3582843,42.32878629,-1
317,317,0.208846794,0.33263603,37.21462044,-1
318,318,0.206560079,0.3368345,38.67609185,-1
319,319,0.210098108,0.3368345,37.62571581,-1
320,320,0.18705566,0.3368345,44.46659704,-1
321,321,0.183304604,0.27683336,33.78521873,-1
322,322,0.176002496,0.2735697,35.66447749,-1
323,323,0.187708235,0.2735697,31.38559012,-1
324,324,0.179095607,0.2741434,34.67083027,-1
325,325,0.183442516,0.2741434,33.08519693,-1
326,326,0.184772201,0.2658965,30.50972793,-1
327,327,0.18206789,0.26288295,30.7418417,-1
328,328,0.179701865,0.2413018,25.52817073,-1
329,329,0.182359019,0.22672999,19.56996098,-1
330,330,0.179363041,0.2030715,11.67493173,-1
331,331,0.162613245,0.2030715,19.92315755,-1
332,332,0.170391921,0.19027847,10.45128694,-1
333,333,0.171070877,0.1864498,8.248291447,-1
334,334,0.206321779,0.18716252,10.2366962,1
335,335,0.211466593,0.25107545,15.77567909,-1
336,336,0.212991147,0.2517047,15.38054417,-1
337,337,0.223322361,0.25459707,12.28400196,-1
338,338,0.187686117,0.25459707,26.2811167,-1
339,339,0.186730363,0.1939722,3.733440772,-1
340,340,0.177452808,0.19954905,11.07308796,-1
341,341,0.178679319,0.19865277,10.05445379,-1
342,342,0.184779686,0.20259684,8.794388928,-1
343,343,0.172611844,0.21587917,20.04238095,-1
344,344,0.17475343,0.22607645,22.70162134,-1
345,345,0.163526105,0.22901136,28.59476268,-1
346,346,0.157625139,0.21939865,28.15583007,-1
347,347,0.172509509,0.20482197,15.77587636,-1
348,348,0.170517616,0.18826967,9.429056516,-1
349,349,0.164320419,0.18771273,12.46176068,-1
350,350,0.162001987,0.18522087,12.53578135,-1
351,351,0.169229349,0.17394063,2.708557098,-1
352,352,0.167302536,0.20248094,17.37368688,-1
353,353,0.172735828,0.17382348,0.625722192,-1
354,354,0.175250439,0.18316561,4.321319572,-1
355,355,0.172822925,0.18576536,6.967087306,-1
356,356,0.170766053,0.18891844,9.60858378,-1
357,357,0.166160806,0.19287509,13.85056202,-1
358,358,0.17611876,0.17713684,0.574742178,-1
359,359,0.188375847,0.16753966,12.43656982,1
360,360,0.185349191,0.18887502,1.866752233,-1
361,361,0.181821668,0.19195426,5.278649276,-1
362,362,0.174800184,0.18380007,4.896562696,-1
363,363,0.172561365,0.18452922,6.485615203,-1
364,364,0.17307445,0.18896443,8.408979389,-1
365,365,0.167834181,0.18664369,10.07776299,-1
366,366,0.166286434,0.18039411,7.820474735,-1
367,367,0.168108462,0.18091387,7.078179144,-1
368,368,0.171982864,0.17796859,3.363360678,-1
369,369,0.168593253,0.1784347,5.515433191,-1
370,370,0.166565112,0.1742023,4.384091418,-1
371,371,0.170009901,0.17236122,1.36418076,-1
372,372,0.174867345,0.17859772,2.088702535,-1
373,373,0.171149617,0.18858638,9.246035129,-1
374,374,0.167800685,0.18589875,9.735442051,-1
375,375,0.166326341,0.18393776,9.574661994,-1
376,376,0.168366633,0.17445657,3.490804272,-1
377,377,0.168980475,0.17435127,3.080444787,-1
378,378,0.175146593,0.17562184,0.270608037,-1
379,379,0.171341332,0.17097884,0.212009714,1
380,380,0.184234615,0.17649883,4.382909931,1
381,381,0.19582701,0.19384873,1.0205278,1
382,382,0.187499303,0.2400133,21.87961979,-1
383,383,0.192818177,0.18292433,5.408710233,1
384,384,0.196652471,0.24682653,20.32766056,-1
385,385,0.193509887,0.25563693,24.30284347,-1
386,386,0.191106976,0.2500923,23.58542201,-1
387,387,0.190926538,0.25069082,23.83983654,-1
388,388,0.185328348,0.24295911,23.72035425,-1
389,389,0.186195898,0.19224146,3.144775493,-1
390,390,0.202301946,0.20801577,2.746822653,-1
391,391,0.204629776,0.28490028,28.17494753,-1
392,392,0.198508566,0.26810372,25.95829489,-1
393,393,0.192946457,0.30338973,36.40310216,-1
394,394,0.157519817,0.29971004,47.44259596,-1
395,395,0.111800578,0.22850877,51.07383491,-1
